image_id,label
test_0.png,Forest
test_1.png,River
test_2.png,Pasture
test_3.png,Highway
test_4.png,SeaLake
test_5.png,HerbaceousVegetation
test_6.png,AnnualCrop
test_7.png,AnnualCrop
test_8.png,AnnualCrop
test_9.png,SeaLake
test_10.png,Residential
test_11.png,Pasture
test_12.png,Pasture
test_13.png,Highway
test_14.png,Pasture
test_15.png,HerbaceousVegetation
test_16.png,HerbaceousVegetation
test_17.png,AnnualCrop
test_18.png,Forest
test_19.png,PermanentCrop
test_20.png,Industrial
test_21.png,Forest
test_22.png,Forest
test_23.png,Highway
test_24.png,SeaLake
test_25.png,AnnualCrop
test_26.png,River
test_27.png,PermanentCrop
test_28.png,Forest
test_29.png,Highway
test_30.png,Highway
test_31.png,River
test_32.png,Forest
test_33.png,Forest
test_34.png,Forest
test_35.png,SeaLake
test_36.png,AnnualCrop
test_37.png,SeaLake
test_38.png,SeaLake
test_39.png,PermanentCrop
test_40.png,Industrial
test_41.png,SeaLake
test_42.png,Highway
test_43.png,AnnualCrop
test_44.png,HerbaceousVegetation
test_45.png,PermanentCrop
test_46.png,Pasture
test_47.png,Forest
test_48.png,Residential
test_49.png,Industrial
test_50.png,HerbaceousVegetation
test_51.png,Residential
test_52.png,PermanentCrop
test_53.png,HerbaceousVegetation
test_54.png,Pasture
test_55.png,River
test_56.png,PermanentCrop
test_57.png,AnnualCrop
test_58.png,SeaLake
test_59.png,Forest
test_60.png,HerbaceousVegetation
test_61.png,PermanentCrop
test_62.png,HerbaceousVegetation
test_63.png,Pasture
test_64.png,Residential
test_65.png,Highway
test_66.png,Highway
test_67.png,SeaLake
test_68.png,River
test_69.png,Pasture
test_70.png,SeaLake
test_71.png,Forest
test_72.png,Residential
test_73.png,SeaLake
test_74.png,Residential
test_75.png,AnnualCrop
test_76.png,HerbaceousVegetation
test_77.png,Highway
test_78.png,SeaLake
test_79.png,Highway
test_80.png,Residential
test_81.png,Highway
test_82.png,HerbaceousVegetation
test_83.png,HerbaceousVegetation
test_84.png,SeaLake
test_85.png,SeaLake
test_86.png,SeaLake
test_87.png,AnnualCrop
test_88.png,HerbaceousVegetation
test_89.png,Residential
test_90.png,HerbaceousVegetation
test_91.png,River
test_92.png,Residential
test_93.png,Residential
test_94.png,SeaLake
test_95.png,Forest
test_96.png,Industrial
test_97.png,Highway
test_98.png,AnnualCrop
test_99.png,HerbaceousVegetation
test_100.png,Highway
test_101.png,HerbaceousVegetation
